,id,code,name_ru,name_en,genres,description,episodes_count,year
0,415.0,gunslinger-stratos,Небесный стрелок,Gunslinger Stratos: The Animation,"Приключения, Фантастика, Экшен","События будут разворачиваться в 22 веке. Островное государство, которое раньше называлось Япония, в настоящее время имеет совсем другое название — «Семнадцатым Дальневосточным Имперским Городом Управленческого Округа». Люди жили как раньше и не знали никаких проблем, пока однажды на них не обрушилась загадочная болезнь под названием Deglation, которая в буквальном смысле превращала людей в прах. Мир стал медленно разрушаться. Ну а в центре сюжета типичный студент по имени Тору Кадзасуми, которого вовлекли в войну между двумя мирами, и самое интересное в том, что главный его враг — это другой он.",12.0,2015.0
0,421.0,shokugeki-no-souma-povar-boets-soma-v-poiskakh-bozhestvennogo-retsepta,Повар-боец Сома: в поисках божественного рецепта,Shokugeki no Souma,"Сёнен, Школа, Этти","Юкихира Сома мечтает стать штатным шеф-поваром в ресторане отца и превзойти своего родителя на профессиональном поприще. Он упорно идет навстречу мечте, но в тот момент, когда средняя школа остается позади, отец, Юкихира Джоичиро, закрывает свое заведение и отправляется на покорение Европы. Казалось бы, все планы рухнули, а стремления оказались напрасными, но Джоичиро, видя упавшего духом сына, предлагает ему пройти проверку на выносливость в элитнейшей школе кулинаров, только 10% учеников которой доживают до выпуска. Удастся ли это Соме?",24.0,2015.0
0,422.0,owari-no-seraph-posledniy-serafim,Последний Серафим,Owari no Seraph,"Вампиры, Драма, Приключения, Сверхъестественное","Однажды на Земле появился таинственный вирус, и возник он будто из ниоткуда. Каждый человек, заразившийся им, умирал, если был старше тринадцати лет. В то же время в мир пришли вампиры, до сих пор скрывавшиеся во тьме, и все человечество пало перед ними. В центре повествования Юичиро Хякуя — мальчик, оставшийся сиротой. С ним и другими детьми из приюта вампиры обращаются не лучше, чем с домашним скотом. Но даже в плену, даже будучи абсолютно беспомощным, Юичиро не теряет надежды. У него есть заветная мечта, являющаяся целью всей его жизни. А состоит она в том, чтобы убивать вампиров и в конце концов истребить их всех!",12.0,2015.0
0,423.0,re-kan-re-kan,Ре-Кан!,Re-Kan!,"Комедия, Мистика, Сейнен, Школа","Хибики Амами — девушка, способная видеть призраков и другие сверхъестественные явления в окрестностях. Каждая серия рассказывает о повседневной жизни её друзей и потустороннем мире.",13.0,2015.0
0,428.0,nanatsu-no-taizai-the-seven-deadly-sins-sem-smertnykh-grekhov,Семь смертных грехов,Nanatsu no Taizai,"Приключения, Сверхъестественное, Сёнен, Фэнтези, Экшен","В мире, подобному европейскому средневековью, почитаемые, но вселяющие страх Священные Рыцари Британии своими могущественными силами защищают Британию и её королевства. Но некоторые рыцари предали свою родину и пошли с оружием против своих товарищей в попытке устроить государственный переворот. Предатели были повержены Священными Рыцарями, но слухи о том, что те легендарные рыцари, прозванные Семью Смертными Грехами, всё ещё живы. Десять лет спустя сами Священные Рыцари пришли к власти в результате государственного переворота.
Аниме же повествует о приключениях Элизабет, третьей принцессы королевства, и о её поисках Семи Смертных Грехов, с чьей помощью она желает отобрать королевство у Священных Рыцарей, а также принести справедливость в несправедливый мир.",24.0,2015.0
0,433.0,tokyo-ghoul-a,Токийский Гуль √A (ТВ-2),Tokyo Ghoul √A,"Драма, Мистика, Сейнен, Ужасы, Экшен","Продолжение истории Канеки Кена. Пройдя через сложные испытания, преодолев боль - Канеки изменился. Его личность деформировалась, он стал совсем другим. Он решил оставить своих друзей и уйти в ""Аогири"", к чему всё это приведёт и зачем ему это было нужно - узнаете во втором сезоне нашумевшего аниме ""Токийский Гуль""!",12.0,2015.0
0,438.0,kekkai-sensen-front-krovavoy-blokady,Фронт кровавой блокады,Kekkai Sensen,"Приключения, Сверхъестественное, Супер сила, Фэнтези, Экшен","Однажды небо над Нью-Йорком задрожало, и в нем появился огромный портал в иные миры и реальности. Город оказался заперт внутри сферы, быстро превратившись в серую зону, где люди живут и работают бок о бок с существами из других измерений. Но вместе с нормальными разумными на Землю хлынул всякий галактический мусор — маньяки и террористы, тут же спевшиеся с местными идейными братьями. Власти оказались бесполезны, и способным людям пришлось сплотиться, чтобы самостоятельно дать отпор беспредельщикам. Именно в такую организацию — «Либра» — случайно попал юный Леонардо – честный парень и начинающий фоторепортер. Втянувшись в жизнь на грани миров, Лео пытается найти ответ – что за могущественная сущность когда-то вмешалась в его жизнь, наградив Всевидящим Оком и отняв за это зрение у младшей сестры?",12.0,2015.0
0,441.0,danna-ga-nani-o-itteiruka-wakaranai-ken-2-sureme-ya-ne-ponimayu-chto-govorit-moy-muzh-2,"Я не понимаю, что говорит мой муж 2",Danna ga Nani o Itteiruka Wakaranai Ken 2 Sureme,"Комедия, Повседневность","Продолжение аниме-сериала «Я не понимаю, что говорит мой муж», которое продолжит рассказ о непростой супружеской жизни трудолюбивой бизнес-леди Каору и её мужа-отаку, Хаджимэ, полностью поглощенного бесспорно огромной системой онлайн-досок объявлений.




	                                                                                                                                                           © SeroS, shikimori.org",13.0,2015.0
0,443.0,nagato-yuki-chan-no-shoushitsu-ischeznovenie-yuki-nagato,Исчезновение Юки Нагато,Nagato Yuki-chan no Shoushitsu,"Комедия, Романтика, Сейнен, Школа","Юки Нагато — обычная, неуверенная в себе девочка. Волею судьбы она становится президентом литературного клуба, потому что в нём состоит всего три человека, и больше руководителем выбрать было некого. Кстати, единственный мальчик в клубе, носящий странное прозвище Кён Kyon, очень нравится застенчивой Юки. И она постоянно пытается показать ему свои чувства, чему очень мешает её характер. Да тут ещё и третий член литературного клуба, жизнерадостная Рёко Асакура, вовсю веселится, создавая для Юки и Кёна различные неловкие ситуации.Это романтическая комедия является спин-оффом фильма «Исчезновение Харухи Судзумии».
©Sfairat. Shikimori",16.0,2015.0
0,489.0,ore-monogatari-moya-istoriya-,Моя история!!,Ore Monogatari!!,"Комедия, Романтика, Сёдзе, Школа","Такэо Года – новоиспеченный старшеклассник, который не похож на стройного, красивого юношу, радующегося каждому мгновению весны, прям совсем не похож. Он большой, полный и неприглядный на лицо, Такэо можно сравнить с двухметровым шкафом, вышагивающим по тротуару. А его лучший друг, Макото Сунакава, писаный красавец у которого нет отбоя от девчонок, который уже в раннем детстве разбивал невинные девичьи сердца холодно и решительно, и этом быть язвительным и бестактным. Но Такэо смирился и смог найти в громадном неповоротливом теле место для столь же громадной доброй души, благодаря которой одним будничным утром спас маленькое милое чудо по имени Ринко Ямато…",24.0,2015.0
0,575.0,yahari-ore-no-seishun-love-comedy-wa-machigatteiru-zoku-kak-i-ozhidalos-moya-shkolnaya-romanticheska,"Как и ожидалось, моя школьная романтическая жизнь не удалась. Дважды",OreGairu 2,"Комедия, Романтика, Школа","Хачиман Хикигая — изолированный ученик старшей школы без друзей и каких-либо интересов — был вынужден присоединиться к клубу помощи и постепенно оказался втянут в череду школьных событий, неоднозначно раскрывающих его личностные качества. «Серый кардинал», непризнанный гений или просто подросток, так давно нуждающийся в друзьях... Да еще эта неудачная первая влюбленность, которая теперь мешает разглядеть истинные чувства. Постоянные разочарования и конфронтации с Юкино из-за методов, к которым прибегает Хики, неоднозначные ситуации и много неразрешенных вопросов. А может быть помощь нужна самому клубу?",13.0,2015.0
